                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2105,                0.73584,                 1.3732,                 0.5725,                0.57679,                0.55535,                0.26285,                 1.9198,                 1.1905,                 2.0969,             0.00043762,             0.00043762,             0.00043762
                     35,                 1.1926,                0.72839,                 1.3689,                0.68285,                0.52399,                0.54044,                0.26031,                 1.9322,                 1.1662,                 2.0902,             0.00043067,             0.00043067,             0.00043067
                     36,                 1.1747,                0.71353,                 1.3617,                0.61394,                0.51136,                0.53579,                 0.2572,                 1.9577,                 1.1618,                 2.1339,             0.00042372,             0.00042372,             0.00042372
                     37,                 1.1736,                0.70681,                 1.3546,                0.62026,                0.55356,                0.54692,                0.26007,                 1.9637,                 1.1585,                 2.1463,             0.00041677,             0.00041677,             0.00041677
                     38,                 1.1624,                0.69423,                 1.3463,                0.62248,                0.51174,                0.54613,                0.25421,                 1.9761,                 1.1439,                 2.1558,             0.00040982,             0.00040982,             0.00040982
                     39,                 1.1597,                0.70364,                 1.3413,                0.55237,                 0.5472,                0.53129,                0.25069,                 1.9732,                 1.1562,                 2.1477,             0.00040287,             0.00040287,             0.00040287
                     40,                  1.153,                0.68735,                 1.3374,                0.60233,                0.50183,                0.52222,                0.24817,                 1.9787,                 1.1913,                 2.1364,             0.00039592,             0.00039592,             0.00039592
                     41,                 1.1429,                0.68151,                  1.326,                0.59416,                0.54826,                0.54767,                0.25597,                 1.9748,                 1.1159,                  2.158,             0.00038897,             0.00038897,             0.00038897
                     42,                 1.1347,                0.67461,                 1.3221,                0.58006,                0.51495,                0.52886,                 0.2539,                 1.9847,                  1.132,                 2.1592,             0.00038202,             0.00038202,             0.00038202
                     43,                 1.1245,                0.66462,                 1.3192,                0.63619,                0.54344,                0.55057,                0.26253,                 1.9562,                 1.1385,                 2.1484,             0.00037506,             0.00037506,             0.00037506
                     44,                  1.116,                0.66047,                 1.3077,                0.66916,                0.52845,                0.53265,                0.25139,                 1.9783,                 1.1779,                 2.1953,             0.00036811,             0.00036811,             0.00036811
                     45,                  1.109,                0.65268,                 1.3067,                 0.5671,                0.54218,                0.53397,                0.25714,                 1.9996,                 1.1391,                 2.2048,             0.00036116,             0.00036116,             0.00036116
                     46,                 1.1042,                0.64919,                 1.2988,                0.65602,                0.50897,                0.53081,                 0.2549,                 1.9666,                 1.1347,                 2.2046,             0.00035421,             0.00035421,             0.00035421
                     47,                 1.0912,                0.64484,                 1.2974,                0.54807,                0.55706,                0.52808,                0.24986,                 1.9772,                 1.1545,                 2.1908,             0.00034726,             0.00034726,             0.00034726
                     48,                 1.0888,                0.63362,                  1.286,                0.56754,                0.50619,                 0.5202,                0.25062,                 1.9675,                 1.1471,                 2.1909,             0.00034031,             0.00034031,             0.00034031
                     49,                 1.0762,                0.62726,                 1.2764,                0.64655,                0.52354,                0.53356,                0.25456,                 1.9904,                 1.1726,                 2.2194,             0.00033336,             0.00033336,             0.00033336
                     50,                 1.0717,                0.62367,                 1.2815,                0.55865,                0.53986,                 0.5218,                0.25049,                 1.9641,                  1.155,                  2.181,             0.00032641,             0.00032641,             0.00032641
                     51,                 1.0644,                0.61588,                 1.2709,                0.54335,                0.52585,                0.52717,                0.25309,                 1.9854,                 1.1714,                 2.2346,             0.00031946,             0.00031946,             0.00031946
                     52,                 1.0621,                 0.6182,                 1.2719,                0.55519,                0.52749,                0.53592,                0.25744,                 1.9861,                 1.1389,                 2.2285,             0.00031251,             0.00031251,             0.00031251
                     53,                 1.0563,                0.61019,                 1.2612,                0.57835,                0.48408,                0.51092,                0.25128,                 2.0023,                 1.1636,                 2.2402,             0.00030556,             0.00030556,             0.00030556
                     54,                 1.0429,                0.59891,                 1.2571,                0.65874,                0.51188,                0.52787,                0.25022,                 1.9903,                 1.1921,                 2.2455,             0.00029861,             0.00029861,             0.00029861
                     55,                 1.0394,                0.59419,                 1.2553,                0.65955,                 0.4931,                0.51283,                0.24818,                 1.9879,                 1.1869,                 2.2183,             0.00029165,             0.00029165,             0.00029165
                     56,                 1.0388,                0.59508,                 1.2505,                0.54528,                0.57408,                0.53114,                0.25506,                 1.9798,                 1.2007,                 2.2078,              0.0002847,              0.0002847,              0.0002847
                     57,                 1.0292,                0.58987,                 1.2425,                0.55033,                0.51677,                0.52289,                0.25403,                 1.9857,                 1.1643,                 2.2293,             0.00027775,             0.00027775,             0.00027775
                     58,                 1.0179,                0.58677,                 1.2422,                0.54316,                0.56896,                0.53909,                0.25897,                 1.9843,                 1.1485,                 2.2273,              0.0002708,              0.0002708,              0.0002708
                     59,                 1.0128,                0.57849,                 1.2344,                0.55121,                0.50339,                0.51199,                0.25024,                 1.9889,                 1.1801,                 2.2763,             0.00026385,             0.00026385,             0.00026385
                     60,                 1.0071,                0.57351,                 1.2349,                0.57395,                0.48639,                0.50768,                0.24854,                 1.9915,                 1.1545,                 2.2658,              0.0002569,              0.0002569,              0.0002569
                     61,                 1.0013,                0.57027,                 1.2309,                0.64128,                0.52357,                0.52426,                 0.2522,                 2.0042,                 1.1689,                 2.2736,             0.00024995,             0.00024995,             0.00024995
                     62,                0.99057,                0.56104,                 1.2212,                0.63032,                 0.5078,                0.51403,                0.24634,                 2.0138,                 1.1844,                 2.2789,               0.000243,               0.000243,               0.000243
                     63,                0.98803,                 0.5592,                  1.216,                 0.5295,                0.54364,                0.52345,                0.25279,                 2.0097,                  1.166,                 2.2678,             0.00023605,             0.00023605,             0.00023605
                     64,                  0.988,                0.55644,                 1.2206,                0.66961,                0.51027,                0.53119,                0.25628,                 1.9874,                 1.1484,                 2.2579,              0.0002291,              0.0002291,              0.0002291
